txn_id_normalized,user_id_normalized,merchant_id_normalized,amount_numeric,amount_abs,amount_percentile,negative_amount_flag,amount_missing_flag,amount_iqr_anomaly_flag,transaction_date,transaction_hour,transaction_day,transaction_week,transaction_month,day_of_week,weekend_flag,success_flag,failed_flag,pending_flag,missing_utr_flag,kyc_match_flag,merchant_match_flag,referential_integrity_issue_flag,timestamp_invalid_flag,duplicate_txn_id_flag,has_chargeback,chargeback_count,total_disputed_amount,max_dispute_severity,dispute_after_7_days_flag,chargeback_report_delay_hours,invalid_chargeback_delay_flag,user_transaction_count,user_total_transaction_amount,user_avg_transaction_amount,merchant_transaction_count,merchant_total_transaction_amount,merchant_avg_transaction_amount,user_amount_mean,user_amount_std,user_amount_zscore,user_relative_amount_anomaly,merchant_amount_mean,merchant_amount_std,merchant_amount_zscore,merchant_relative_amount_anomaly
TXN00011869,USR45826,MCH7045,15722.34,15722.34,63.970000000000006,False,False,False,2026-01-15,0,15,3,1,3,False,True,False,False,False,False,False,True,False,False,True,1.0,8004.21,P1,True,1103.8083333333334,False,1.0,15722.34,15722.34,4.0,54489.72,13622.43,15722.34,,,False,13622.43,7256.993435140112,,False
TXN00010383,USR79397,MCH5031,6362.9,6362.9,27.07,False,False,False,2026-01-17,20,17,3,1,5,True,False,True,False,False,True,False,True,False,False,True,1.0,4163.19,LOW,True,856.4544444444444,False,1.0,6362.9,6362.9,4.0,38002.16,9500.54,6362.9,,,False,9500.54,8894.547157549207,,False
TXN00008297,USR87810,MCH9809,15446.19,15446.19,62.895,False,False,False,2026-01-23,14,23,4,1,4,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,1.0,15446.19,15446.19,2.0,20984.21,10492.105,15446.19,,,False,10492.105,7006.134196149114,,False
TXN00006448,USR54287,MCH6928,12110.49,12110.49,49.575,False,False,False,2026-02-02,20,2,6,2,0,False,True,False,False,False,False,True,True,False,False,False,0.0,0.0,,False,,False,2.0,24247.309999999998,12123.654999999999,2.0,25043.27,12521.635,12123.654999999999,18.61812154864239,,False,12521.635,581.4468351018868,,False
TXN00018792,USR53865,MCH8121,19432.94,19432.94,78.35,False,False,False,2026-03-31,14,31,14,3,1,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,1.0,19432.94,19432.94,4.0,72426.12,18106.53,19432.94,,,False,18106.53,3121.4475673635784,,False
TXN00000400,USR90546,MCH6773,18866.03,18866.03,76.03999999999999,False,False,False,2026-02-11,1,11,7,2,2,False,True,False,False,False,True,True,False,False,False,False,0.0,0.0,,False,,False,2.0,20006.32,10003.16,4.0,68131.54,17032.885,10003.16,12533.99095554963,,False,17032.885,6270.50722723715,,False
TXN00015249,USR18691,MCH7856,19982.69,19982.69,80.4,False,False,False,2026-03-10,21,10,11,3,1,False,True,False,False,False,True,True,False,False,False,False,0.0,0.0,,False,,False,1.0,19982.69,19982.69,5.0,70365.86,14073.172,19982.69,,,False,14073.172,7427.767834630401,0.7955981031674303,False
TXN00007121,USR16629,MCH7753,22687.5,22687.5,90.96499999999999,False,False,False,2026-02-25,0,25,9,2,2,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,2.0,31429.629999999997,15714.814999999999,3.0,39332.56,13110.853333333333,15714.814999999999,9860.865693155443,,False,13110.853333333333,9970.64767614087,,False
TXN00008460,USR20899,MCH9111,8256.07,8256.07,34.300000000000004,False,False,False,2026-02-07,9,7,6,2,5,True,True,False,False,False,True,True,False,False,False,False,0.0,0.0,,False,,False,1.0,8256.07,8256.07,3.0,28443.67,9481.223333333333,8256.07,,,False,9481.223333333333,6227.767085885063,,False
TXN00002541,USR51755,MCH2949,16466.93,16466.93,66.725,False,False,False,2026-03-30,9,30,14,3,0,False,False,True,False,False,False,True,True,False,False,False,0.0,0.0,,False,,False,1.0,16466.93,16466.93,1.0,16466.93,16466.93,16466.93,,,False,16466.93,,,False
TXN00003797,USR81003,MCH5292,13312.0,13312.0,54.3575,False,False,False,2026-03-14,12,14,11,3,5,True,True,False,False,False,False,True,True,False,False,False,0.0,0.0,,False,,False,1.0,13312.0,13312.0,2.0,25194.96,12597.48,13312.0,,,False,12597.48,1010.4838745868245,,False
TXN00000092,USR70687,MCH4523,17833.99,17833.99,72.055,False,False,False,2026-01-27,23,27,5,1,1,False,True,False,False,False,True,False,True,False,False,False,0.0,0.0,,False,,False,1.0,17833.99,17833.99,3.0,32649.82,10883.273333333333,17833.99,,,False,10883.273333333333,7196.214244325508,,False
TXN00004622,USR37834,MCH5213,19118.63,19118.63,77.125,False,False,False,2026-11-03,1,3,45,11,1,False,True,False,False,False,False,True,True,False,False,True,1.0,1330.95,M,False,,False,1.0,19118.63,19118.63,7.0,121982.15,17426.02142857143,19118.63,,,False,17426.02142857143,4621.633816972193,0.3662359759470223,False
TXN00001542,USR78386,MCH4890,2680.85,2680.85,12.809999999999999,False,False,False,2026-02-21,1,21,8,2,5,True,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,1.0,2680.85,2680.85,2.0,13249.960000000001,6624.9800000000005,2680.85,,,False,6624.9800000000005,5577.842137762596,,False
TXN00002592,USR21114,MCH9819,20100.92,20100.92,80.845,False,False,False,2026-02-21,5,21,8,2,5,True,False,False,True,False,False,False,True,False,False,False,0.0,0.0,,False,,False,1.0,20100.92,20100.92,1.0,20100.92,20100.92,20100.92,,,False,20100.92,,,False
TXN00017665,USR96222,MCH6009,16257.95,16257.95,65.955,False,False,False,2026-01-21,15,21,4,1,2,False,False,False,True,False,False,True,True,False,False,False,0.0,0.0,,False,,False,1.0,16257.95,16257.95,4.0,79151.28,19787.82,16257.95,,,False,19787.82,4372.940021838854,,False
TXN00002012,USR13976,MCH8222,1575.7,1575.7,8.265,False,False,False,2026-03-06,13,6,10,3,4,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,1.0,1575.7,1575.7,4.0,14747.140000000003,3686.7850000000008,1575.7,,,False,3686.7850000000008,19665.83063287437,,False
TXN00015655,USR55935,MCH8480,18230.29,18230.29,73.69,False,False,False,2026-01-09,5,9,2,1,4,False,True,False,False,False,False,True,True,False,False,False,0.0,0.0,,False,,False,1.0,18230.29,18230.29,3.0,49478.51,16492.836666666666,18230.29,,,False,16492.836666666666,2149.3843964571197,,False
TXN00011091,USR13890,MCH8216,-23820.57,23820.57,0.11,True,False,False,2026-03-03,19,3,10,3,1,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,2.0,-5360.57,-2680.285,6.0,45342.87,7557.145,-2680.285,29896.877759432504,,False,7557.145,18051.8228952721,-1.7382020188231542,False
TXN00008584,USR15778,MCH3250,5546.0,5546.0,23.849999999999998,False,False,False,2026-01-17,18,17,3,1,5,True,True,False,False,False,False,True,True,False,False,False,0.0,0.0,,False,,False,1.0,5546.0,5546.0,3.0,24942.510000000002,8314.17,5546.0,,,False,8314.17,8728.54080744886,,False
TXN00004474,USR15834,MCH3895,8892.43,8892.43,36.845,False,False,False,2026-01-17,19,17,3,1,5,True,True,False,False,False,False,True,True,False,False,False,0.0,0.0,,False,,False,1.0,8892.43,8892.43,2.0,26782.38,13391.19,8892.43,,,False,13391.19,6362.207405861585,,False
TXN00013857,USR33189,MCH4645,1816.08,1816.08,9.264999999999999,False,False,False,2026-01-24,7,24,4,1,5,True,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,1.0,1816.08,1816.08,4.0,45195.33,11298.8325,1816.08,,,False,11298.8325,8983.977878428444,,False
TXN00012705,USR48168,MCH4207,3530.72,3530.72,16.005,False,False,False,2026-01-23,18,23,4,1,4,False,True,False,False,False,True,False,True,False,False,False,0.0,0.0,,False,,False,1.0,3530.72,3530.72,3.0,7392.26,2464.0866666666666,3530.72,,,False,2464.0866666666666,1755.5627453706497,,False
TXN00008884,USR99474,MCH1206,7998.11,7998.11,33.21,False,False,False,2026-01-02,23,2,1,1,4,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,2.0,16569.65,8284.825,4.0,36844.630000000005,9211.157500000001,8284.825,405.47624153580244,,False,9211.157500000001,10596.526947902554,,False
TXN00007528,USR86253,MCH1683,13694.93,13694.93,56.04,False,False,False,2026-01-30,18,30,5,1,4,False,True,False,False,False,True,True,False,False,False,False,0.0,0.0,,False,,False,2.0,37564.82,18782.41,4.0,57129.6,14282.4,18782.41,7194.783214301873,,False,14282.4,6637.098965597344,,False
TXN00011321,USR85411,MCH6621,15076.69,15076.69,61.334999999999994,False,False,False,2026-02-25,8,25,9,2,2,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,1.0,15076.69,15076.69,3.0,45528.68000000001,15176.22666666667,15076.69,,,False,15176.22666666667,5931.011457519985,,False
TXN00003742,USR92327,MCH8759,20437.02,20437.02,82.155,False,False,False,2026-03-20,5,20,12,3,4,False,True,False,False,False,True,False,True,False,False,False,0.0,0.0,,False,,False,1.0,20437.02,20437.02,2.0,27610.67,13805.335,20437.02,,,False,13805.335,9378.618868386218,,False
TXN00008492,USR54536,MCH8074,3384.6,3384.6,15.434999999999999,False,False,False,2026-02-02,18,2,6,2,0,False,True,False,False,False,False,True,True,False,False,False,0.0,0.0,,False,,False,1.0,3384.6,3384.6,4.0,46793.369999999995,11698.342499999999,3384.6,,,False,11698.342499999999,11639.259354765303,,False
TXN00016765,USR93890,MCH5711,20091.0,20091.0,80.80000000000001,False,False,False,2026-03-26,12,26,13,3,3,False,False,True,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,1.0,20091.0,20091.0,3.0,25058.14,8352.713333333333,20091.0,,,False,8352.713333333333,10308.528464845665,,False
TXN00017694,USR40732,MCH9490,9002.0,9002.0,37.295,False,False,False,2026-01-13,15,13,3,1,1,False,False,True,False,False,True,False,True,False,False,False,0.0,0.0,,False,,False,1.0,9002.0,9002.0,6.0,67286.15,11214.358333333332,9002.0,,,False,11214.358333333332,8592.448296092138,-0.2574770609140024,False
TXN00006528,USR29622,MCH4964,20882.75,20882.75,83.91499999999999,False,False,False,2026-03-28,10,28,13,3,5,True,False,True,False,False,True,True,False,False,False,False,0.0,0.0,,False,,False,1.0,20882.75,20882.75,4.0,66454.31,16613.5775,20882.75,,,False,16613.5775,7643.067088394009,,False
TXN00013401,USR31880,MCH1798,24701.82,24701.82,98.825,False,False,False,2026-04-03,18,3,14,4,4,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,1.0,24701.82,24701.82,3.0,38565.97,12855.323333333334,24701.82,,,False,12855.323333333334,11712.859150533372,,False
TXN00004494,USR95466,MCH5376,19908.13,19908.13,80.085,False,False,False,2026-02-24,12,24,9,2,1,False,True,False,False,False,False,True,True,False,False,False,0.0,0.0,,False,,False,1.0,19908.13,19908.13,3.0,55961.78,18653.926666666666,19908.13,,,False,18653.926666666666,2818.585514408485,,False
TXN00011094,USR75900,MCH1058,8314.42,8314.42,34.505,False,False,False,2026-03-05,11,5,10,3,3,False,True,False,False,False,True,True,False,False,False,False,0.0,0.0,,False,,False,1.0,8314.42,8314.42,4.0,53848.59,13462.1475,8314.42,,,False,13462.1475,4220.942626960436,,False
TXN00017273,USR76790,MCH6075,13085.0,13085.0,53.559999999999995,False,False,False,2026-01-14,18,14,3,1,2,False,False,True,False,False,True,True,False,False,False,False,0.0,0.0,,False,,False,1.0,13085.0,13085.0,4.0,65545.48999999999,16386.372499999998,13085.0,,,False,16386.372499999998,6418.254792627952,,False
TXN00009281,USR68024,MCH5104,10455.06,10455.06,43.035000000000004,False,False,False,2026-02-21,0,21,8,2,5,True,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,3.0,38815.829999999994,12938.609999999999,4.0,60526.39,15131.5975,12938.609999999999,10653.535314584544,,False,15131.5975,5303.257517981283,,False
TXN00006056,USR74396,MCH3197,12329.64,12329.64,50.44,False,False,False,2026-01-18,14,18,3,1,6,True,True,False,False,False,True,False,True,False,False,False,0.0,0.0,,False,,False,1.0,12329.64,12329.64,5.0,74321.92,14864.384,12329.64,,,False,14864.384,7367.270296387258,-0.3440547038491287,False
TXN00010147,USR91777,MCH4915,19600.29,19600.29,78.995,False,False,False,2026-01-16,17,16,3,1,4,False,True,False,False,False,True,False,True,False,False,False,0.0,0.0,,False,,False,1.0,19600.29,19600.29,4.0,63303.44,15825.86,19600.29,,,False,15825.86,3603.7132502369464,,False
TXN00008021,USR87162,MCH8216,12452.0,12452.0,50.905,False,False,False,2026-02-13,0,13,7,2,4,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,2.0,22534.86,11267.43,6.0,45342.87,7557.145,11267.43,1675.2349595802966,,False,7557.145,18051.8228952721,0.2711557180899441,False
TXN00015299,USR81720,MCH9260,15641.17,15641.17,63.61,False,False,False,2026-03-12,3,12,11,3,3,False,True,False,False,False,False,False,True,False,False,False,0.0,0.0,,False,,False,1.0,15641.17,15641.17,4.0,39300.32,9825.08,15641.17,,,False,9825.08,5744.843010318037,,False
TXN00012856,USR76098,MCH6109,5205.0,5205.0,22.470000000000002,False,False,False,2026-03-16,23,16,12,3,0,False,False,True,False,False,False,True,True,False,False,False,0.0,0.0,,False,,False,1.0,5205.0,5205.0,4.0,49605.78,12401.445,5205.0,,,False,12401.445,7957.427480459163,,False
TXN00002230,USR41686,MCH3071,7504.98,7504.98,31.415,False,False,False,2026-02-27,4,27,9,2,4,False,True,False,False,False,True,True,False,False,False,False,0.0,0.0,,False,,False,1.0,7504.98,7504.98,1.0,7504.98,7504.98,7504.98,,,False,7504.98,,,False
